width,height,samples,max_depth,focal_length_mm,fstop,focal_distance,aperture_blades,exposure,iso,threads,time_seconds,mrays_per_second
400,225,100,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,47.84,0.1881
400,225,100,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,17.73,0.5077
400,225,100,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,18.15,0.4960
400,225,100,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,18.33,0.4909
400,225,100,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,18.07,0.4981
400,225,100,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,18.10,0.4973
400,225,100,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,18.26,0.4928
400,225,100,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,18.06,0.4984
400,225,100,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,18.15,0.4959
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,47.66,0.5303
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,46.53,0.5431
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,47.40,0.5333
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,46.78,0.5403
1200,675,500,50,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,736.56,0.5499
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,48.89,0.5169
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,55.40,0.4563
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,18.40,1.3735
1200,675,500,50,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,265.07,1.5279
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,18.47,1.3681
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,43.41,0.5822
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,31.05,0.8139
1200,675,500,50,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,147.62,2.7436
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,10.27,2.4616
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,10.28,2.4597
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,9.07,2.7855
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,8.87,2.8489
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,8.79,2.8770
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,8.78,2.8777
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,1.63,15.5433
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,8.78,2.8780
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,8.85,2.8549
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,1.52,16.6146
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,8.68,2.9111
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,8.78,2.8796
